,노래제목,가수명
0,APT.,"로제 (ROSÉ), Bruno Mars"
1,Whiplash,aespa
2,POWER,G-DRAGON
3,UP (KARINA Solo),aespa
4,Mantra,제니 (JENNIE)
5,HAPPY,DAY6 (데이식스)
6,내 이름 맑음,QWER
7,Welcome to the Show,DAY6 (데이식스)
8,Supernova,aespa
9,내게 사랑이 뭐냐고 물어본다면,로이킴
10,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)
11,한 페이지가 될 수 있게,DAY6 (데이식스)
12,Supersonic,프로미스나인
13,소나기,이클립스 (ECLIPSE)
14,예뻤어,DAY6 (데이식스)
15,Pump Up The Volume!,PLAVE
16,고민중독,QWER
17,사랑은 늘 도망가,임영웅
18,천상연,이창섭
19,WAY 4 LUV,PLAVE
20,녹아내려요,DAY6 (데이식스)
21,How Sweet,NewJeans
22,Small girl (feat. 도경수(D.O.)),이영지
23,우리 영화,PLAVE
24,슬픈 초대장,순순희(지환)
25,달랐을까,PLAVE
26,클락션 (Klaxon),(여자)아이들
27,우리들의 블루스,임영웅
28,Love wins all,아이유
29,온기,임영웅
30,나는 아픈 건 딱 질색이니까,(여자)아이들
31,Home,임영웅
32,From,PLAVE
33,첫 만남은 계획대로 되지 않아,TWS (투어스)
34,Sticky,KISS OF LIFE
35,모래 알갱이,임영웅
36,Magnetic,아일릿(ILLIT)
37,버추얼 아이돌,PLAVE
38,Watch Me Woo!,PLAVE
39,다시 만날 수 있을까,임영웅
40,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)
41,주저하는 연인들을 위해,잔나비
42,너의 모든 순간,성시경
43,Armageddon,aespa
44,Supernatural,NewJeans
45,이제 나만 믿어요,임영웅
46,"LOVE, MONEY, FAME (feat. DJ Khaled)",세븐틴 (SEVENTEEN)
47,에피소드,이무진
48,헤어지자 말해요,박재정
49,Do or Die,임영웅
50,나는 반딧불,황가람
51,Drowning,WOODZ
52,Seven (feat. Latto) - Clean Ver.,정국
53,무지개,임영웅
54,청춘만화,이무진
55,London Boy,임영웅
56,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴
57,비의 랩소디,임재현
58,다정히 내 이름을 부르면,"경서예지, 전건호"
59,Polaroid,임영웅
60,SPOT! (feat. JENNIE),지코 (ZICO)
61,Merry PLLIstmas,PLAVE
62,해야 (HEYA),IVE (아이브)
63,Hype Boy,NewJeans
64,미안해 미워해 사랑해,Crush
65,인사,범진
66,Congratulations,DAY6 (데이식스)
67,Bubble Gum,NewJeans
68,Cherish (My Love),아일릿(ILLIT)
69,인생찬가,임영웅
70,I AM,IVE (아이브)
71,Dynamite,방탄소년단
72,봄날,방탄소년단
73,Ditto,NewJeans
74,취중고백,김민석
75,사랑인가 봐,멜로망스
76,청혼하지 않을 이유를 못 찾았어,이무진
77,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
78,연애편지,임영웅
79,Boom Boom Bass,RIIZE
80,별별별 (See that?),NMIXX
81,To. X,태연 (TAEYEON)
82,사건의 지평선,윤하 (YOUNHA)
83,Drama,aespa
84,보금자리,임영웅
85,Love 119,RIIZE
86,사막에서 꽃을 피우듯,우디 (Woody)
87,ETA,NewJeans
88,I Don't Think That I Like Her,Charlie Puth
89,네모네모,YENA (최예나)
90,오래된 노래,"허각, 임한별, 이무진, 이진성 (먼데이 키즈), 김희재, #안녕"
91,플러팅,황인욱
92,내가 S면 넌 나의 N이 되어줘,TWS (투어스)
93,Get A Guitar,RIIZE
94,Attention,NewJeans
95,Over The Moon,투모로우바이투게더
96,MEOW,MEOVV (미야오)
97,Super Shy,NewJeans
98,CRAZY,LE SSERAFIM (르세라핌)
99,Igloo,KISS OF LIFE
